Student_ID,Name,Age,Gender,City,Class,Attendance_Percentage,Study_Hours_per_day,Math_Score,Science_Score,English_Score,Total_Score,Parent_Education,Internet_Access,Result
5578,Tanvir Islam,16,F,  Dhaka,Eight,77.1,4.2,,42,66,108.0,graduate,No,PASS
9026,Fatema Chowdhury,18,M,Mymensingh,Seven,81.8,2.3,79,90,98,267.0,higher secondary,Yes,pass
4642,Karim Das,14,MALE,mymensingh,Eight,72.3,3.1,61,77,41,179.0,Higher Secondary,n/a,
8723,Farhan Rahman,15,Other,Sylhet,7,75.8,2.8,89,63,58,210.0,secondary,1,pass
9737,Anik Islam,16,Female,Sylhet,Nine,91.5,0.6,54,75,88,217.0,Illiterate,n/a,Fail
1112,Tanvir Talukder,16,Other,dhaka,Nine,83.2,1.3,56,37,52,145.0,Primary,,fail
9272,Ayesha Ahmed,18,Other,mymensingh,Nine,77.0,2.3,45,89,76,210.0,primary,n/a,fail
2730,Tanvir Chowdhury,12,Other,Rangpur,8,87.2,3.6,31,71,63,165.0,Primary,Y,P
738,Zayed Islam,14,FEMALE,Ctg,7,75.4,5.4,78,36,40,154.0,secondary,Yes,
1749,Arif Khan,17,FEMALE,Rajshahi,8,79.4,2.9,33,86,59,181.0,Graduate,n/a,fail
9312,Riya Islam,15,M,mymensingh,7th,65.9,4.4,60,52,69,181.0,Secondary,0,Fail
7788,Priya Chowdhury,16,MALE,Khulna,8th,90.5,3.4,84,52,99,235.0,GRADUATE,0,PASS
5592,Hasan Islam,13,Male,Sylhet,7th,91.3,2.8,45,59,72,176.0,Graduate,yes,fail
2435,Imran Rahman,13,male,rangpur,7,104.0,2.8,84,64,88,236.0,N/A,N,F
1546,Hasan Hossain,11,M,,6th,98.8,4.6,33,57,45,135.0,Higher Secondary,n/a,FAIL
2894,Momo Islam,12,M,rangpur,6th,79.4,2.7,50,90,65,205.0,Unknown,Y,fail
3818,Karim Das,15,other,sylhet,8th,104.3,1.8,92,59,92,255.0,Secondary,0,Fail
1196,Rafi Hossain,15,,Khulna,10,72.5,1.2,88,-48,,40.0,N/A,,P
8004,Nusrat Das,16,M,Sylhet,8th,64.1,4.0,31,57,83,171.0,PRIMARY,1,Pass
3449,Kabir Ahmed,13,M,Dhaka ,6th,72.9,5.4,,31,42,73.0,unknown,n/a,F
1436,Farhan Talukder,14,Other,dhaka,8th,92.4,4.0,71,55,42,168.0,Unknown,no,P
9474,Ayesha Ahmed,11,male,KHULNA ,10th,96.3,3.4,86,70,43,199.0,N/A,n/a,F
8437,Ayesha Talukder,11,O,Sylhet,Seven,99.2,0.3,90,39,79,208.0,,,PASS
3030,Anik Sarker,12,,khulna,Ten,70.7,4.2,87,62,74,223.0,N/A,N,FAIL
6355,Lima Islam,15,MALE,barisal,06,73.9,2.0,50,92,75,217.0,GRADUATE,N,Fail
3775,Hasan Hossain,17,female,SYLHET,8th,81.0,3.3,77,48,41,166.0,Post Graduate,yes,
8923,Zayed Talukder,12,Other,SYLHET,7,75.5,2.6,89,79,37,205.0,Graduate,No,
37,Rakib Chowdhury,13,Male,rangpur,6,73.1,4.0,62,97,,159.0,graduate,0,Pass
3553,Rakib Talukder,13,female,Rajshahi ,10,89.2,2.5,68,34,86,188.0,Secondary,no,
3284,Tanvir Sarker,18,MALE,Barishal,8th,83.9,4.4,72,58,39,169.0,unknown,yes,Fail
6451,Fatema Ahmed,17,FEMALE,KHULNA ,Nine,99.9,3.0,79,96,97,272.0,postgraduate,YES,
9031,Tamim Hossain,14,O,Rangpur,6,,2.7,99,68,72,239.0,Secondary,no,pass
5069,Bristi Chowdhury,15,,Rajshahi,9th,86.3,1.9,77,91,80,248.0,primary,Y,
5358,Hasan Akter,18,MALE,Mymensign,06,95.3,3.9,33,80,44,157.0,graduate,No,Pass
832,Jannat Sarker,18,M,barisal,6th,79.7,4.5,56,67,94,217.0,PRIMARY,YES,pass
STU-00375,Rafi Ahmed,12,M,sylhet,Ten,96.9,1.3,absent,76,68,144.0,postgraduate,1,
4077,Rafi Das,17,Other,rangpur,7th,90.1,3.5,66,58,64,188.0,,No,P
8576,Priya Islam,16,Male,Ctg,10th,85.2,0.6,34,85,96,215.0,PRIMARY,YES,fail
8053,Nusrat Hossain,17,male,KHULNA ,06,92.9,1.2,90,74,87,251.0,,no,Pass
3731,Mitu Hossain,17,,Barisal,8th,83.6,2.9,81,91,95,267.0,secondary,1,pass
4905,Mitu Sarker,17,,SYLHET,9th,78.4,4.0,49,56,31,136.0,Unknown,no,PASS
5427,Mim Islam,15,Female,Barisal,Nine,77.0,1.9,90,35,97,222.0,higher secondary,No,Pass
1763 ,Tanvir Sarker,18,other,Sylhet,Nine,87.3,3.1,67,76,36,179.0,graduate,n/a,fail
1731,Bristi Ahmed,16,O,Dhaka ,9,77.5,2.2,37,37,89,163.0,Post Graduate,Yes,PASS
3753,Rakib Hossain,18,other,Rangpur,6th,106.4,4.3,38,61,62,161.0,PRIMARY,n/a,P
5464,Arif Ahmed,16,O,mymensingh,10,68.7,4.1,88,38,87,213.0,primary,Yes,F
3582,Rahim Islam,11,male,KHULNA ,10,83.5,3.5,65,50,65,180.0,Secondary,No,F
7180,Jannat Hossain,13,FEMALE,Rangpur,6,80.6,24.5,82,86,39,207.0,Primary,1,Pass
1544,Zayed Chowdhury,-13,O,CHATTOGRAM,9,92.3,4.9,40,60,41,141.0,Graduate,no,F
7171,Rakib Talukder,11,O,Mymensign,8,88.8,3.8,75,38,93,206.0,secondary,YES,P
949,Mitu Hossain,12,male,barisal,06,77.8,0.7,44,99,79,222.0,PRIMARY,1,F
534,Mim Talukder,11,other,Barisal,6,83.7,1.5,82,88,51,221.0,primary,N,P
2756,Tanvir Akter,16,FEMALE,Rangpur,Eight,96.7,2.9,73,59,69,201.0,Illiterate,n/a,Fail
7168,Hasan Ahmed,14,MALE,Barishal,9th,94.5,-0.1,53,58,98,209.0,Secondary,N,P
1658,Lima Rahman,14,MALE,Mymensingh,7th,91.6,1.8,74,57,56,187.0,postgraduate,yes,Pass
STU-02972,Hasan Talukder,18,Female,SYLHET,Six,66.2,-0.6,35,87,77,199.0,GRADUATE,,FAIL
3254,Priya Das,15,,mymensingh,Seven,88.6,4.7,75,74,50,199.0,Secondary,,fail
2702,Zayed Das,17,FEMALE,Barishal,Seven,78.8,4.7,37,31,86,154.0,GRADUATE,YES,P
6839,Kabir Islam,11,O,mymensingh,Six,63.0,4.0,52,58,35,145.0,Higher Secondary,no,P
STU-08125,rupa sarker,17,Other,Sylhet,Six,82.4,,71,71,77,219.0,secondary,yes,
935,Bristi Ahmed,18,,Dhaka ,Nine,84.9,4.8,58,97,80,235.0,Primary,,
5055,Ayesha Ahmed,16,MALE,Dhaka ,7th,,4.7,71,62,70,203.0,GRADUATE,N,P
923,Rahim Chowdhury,-1,female,rangpur,8,75.3,4.5,59,78,38,175.0,higher secondary,YES,fail
9572,Sohan Akter,15,Female,barisal,7,68.0,1.3,44,77,59,180.0,graduate,,F
6089,Sabbir Das,18,Other,Mymensign,8,75.5,0.5,86,50,83,219.0,GRADUATE,yes,pass
4892,Arif Das,18,FEMALE,khulna,10th,81.9,4.8,51,92,75,218.0,Secondary,,
4649,Mim Talukder,18,O,Mymensingh,Ten,84.2,4.9,91,90,41,222.0,Post Graduate,n/a,FAIL
1210,Fatema Talukder,16,Female,Rangpur,8,190.6,3.7,92,91,78,261.0,N/A,No,F
4712,Priya Das,15,Other,Rajshahi,10,78.2,0.7,39,90,50,179.0,Primary,NO,FAIL
4092,Rahim Chowdhury,17,MALE,CHATTOGRAM,Nine,84.9,2.8,69,89,44,202.0,PRIMARY,No,
9774,Rupa Akter,17,O,Barishal,Six,75.3,2.6,71,71,80,222.0,primary,Yes,
4783,Riya Das,11,,rangpur,10th,85.0,3.4,62,97,93,252.0,,Yes,Fail
7134,Ayesha Chowdhury,15,Other,rangpur,10th,,4.0,41,54,63,158.0,PRIMARY,N,P
6594,Jannat Islam,17,Female,Ctg,9,87.0,0.5,60,76,45,181.0,GRADUATE,NO,PASS
3945,Sohan Talukder,11,Female,khulna,Seven,-41.7,0.8,44,,77,121.0,Post Graduate,NO,
346,Rahim Akter,15,O,rangpur,10th,75.2,1.7,,84,43,127.0,Graduate,N,P
5812,Riya Akter,,Female,,Eight,93.7,4.5,35,31,91,157.0,unknown,N,FAIL
3683,Hasan Khan,14,Male,dhaka,Nine,90.0,22.1,76,90,56,222.0,postgraduate,0,Fail
6739,Jannat Sarker,17,Other,rangpur,06,90.1,3.6,48,35,80,163.0,Illiterate,,Fail
8932,Rahim Sarker,,female,rajshahi,Ten,86.3,4.2,95,74,81,250.0,unknown,NO,pass
STU-03063,Farhan Khan,18,,barisal,10,94.0,2.1,57,99,61,224.0,graduate,Y,
2316,Jannat Hossain,12,Other,sylhet,9,85.4,0.5,97,61,95,253.0,GRADUATE,n/a,FAIL
5609,Kabir Hossain,290,F,Rangpur,9th,89.5,3.8,71,87,39,197.0,Higher Secondary,Yes,FAIL
572,Hasan Sarker,fifteen,other,Rangpur,Seven,81.7,3.0,75,59,86,220.0,GRADUATE,yes,Pass
6890,Riya Chowdhury,15,Male,Ctg,Ten,65.4,3.3,80,97,75,252.0,unknown,Y,fail
1876,Shila Das,18,FEMALE,Rajshahi,9th,99.7,,97,95,42,234.0,graduate,,
57,Sadia Hossain,14,,DHAKA,8,73.0,2.5,30,63,77,170.0,postgraduate,yes,Fail
3088,Sabbir Chowdhury,13,Male,barisal,8,103.7,2.5,87,94,87,268.0,Secondary,Y,FAIL
6767,Nusrat Ahmed,12,other,Sylhet,6th,81.8,2.3,96,98,67,261.0,Post Graduate,1,Pass
9063,Mim Das,11,,barisal,10,83.4,1.0,62,60,91,213.0,Primary,NO,F
1313,Sadia Hossain,17,Other,khulna,9,68.8,1.3,61,86,67,214.0,unknown,N,FAIL
7333,Arif Das,12,F,KHULNA ,9th,84.8,5.7,44,66,99,209.0,unknown,Y,Fail
1386,Rafi Rahman,18,male,rangpur,10,87.7,2.0,31,33,42,106.0,Higher Secondary,no,Pass
6096,Rahim Hossain,11,MALE,barisal,9th,84.8,2.0,63,63,66,192.0,Unknown,1,
3539,Nadia Hossain,18,MALE,barisal,7th,96.6,2.1,98,91,75,256.0,unknown,Y,Pass
8687,Priya Sarker,11,M,Dhaka,Seven,79.5,3.1,37,94,66,197.0,GRADUATE,1,
8202,Rakib Hossain,15,Other,Rangpur,Nine,74.7,2.3,34,99,93,226.0,graduate,1,F
8005,Jannat Hossain,14,Other,khulna,7th,105.9,6.3,90,69,47,206.0,Graduate,N,fail
946,Bristi Khan,17,O,sylhet,Eight,64.8,2.8,79,71,41,191.0,Graduate,0,FAIL
1666,Jannat Akter,17,MALE,Sylhet,Nine,91.2,,77,39,53,169.0,unknown,n/a,fail
1443,Momo Akter,13,F,Rangpur,7,84.6,4.9,,99,48,147.0,Post Graduate,Y,pass
5645,Zayed Ahmed,13,F,,Nine,90.5,4.4,74,70,92,236.0,unknown,Y,pass
5723,Priya Rahman,17,Female,Mymensign,8th,85.2,3.0,87,55,88,230.0,secondary,No,PASS
4661,Riya Talukder,11,MALE,Sylhet,9,96.2,3.0,30,,75,105.0,illiterate,no,P
2106,Riya Ahmed,12,,SYLHET,Eight,76.7,3.6,58,85,35,178.0,secondary,NO,
1764,Rafi Hossain,12,female,Dacca,Eight,85.2,5.9,62,58,52,172.0,Post Graduate,YES,Fail
6730,Tamim Ahmed,14,Female,khulna,6th,85.2,2.5,36,50,87,173.0,primary,N,Pass
7448,Karim Hossain,13,female,mymensingh,6th,75.8,5.7,36,64,81,181.0,primary,,FAIL
607,Sabbir Islam,14,O,Mymensingh,8,86.7,2.5,69,72,51,192.0,graduate,Yes,FAIL
4559,Mitu Rahman,13,other,Chittagong,Ten,N/A,2.8,57,46,94,197.0,unknown,No,Pass
6903,Rahim Hossain,18,,Rangpur,Six,94.9,2.8,57,61,51,151.0,Primary,No,F
3649,Mitu Talukder,252,,sylhet,7,78.8,-0.1,65,,93,158.0,unknown,YES,Fail
4469,Farhan Sarker,12,F,Ctg,7th,79.3,2.3,44,59,35,138.0,GRADUATE,Yes,
9696,bristi islam,16,,Chittagong,10th,96.4,3.2,54,,91,145.0,PRIMARY,Y,
STU-02200,Momo Ahmed,17,Male,Khulna,7th,87.8,0.6,44,46,80,170.0,N/A,yes,Fail
864,Sabbir Das,11,female,rajshahi,8,83.8,2.1,,87,58,145.0,Primary,,Pass
5705,Zayed Khan,18,Other,SYLHET,10th,90.2,3.3,77,80,33,190.0,GRADUATE,No,pass
5895,Riya Islam,11,,Barishal,6th,96.1,1.2,62,38,36,136.0,Secondary,Y,pass
STU-07395,Rakib Sarker,17,Male,Rangpur,9th,85.9,2.1,91,48,59,198.0,Secondary,no,FAIL
5254,Shila Khan,15,FEMALE,Barisal,9,77.0,1.4,73,47,61,181.0,higher secondary,NO,F
7546,Bristi Chowdhury,11,FEMALE,KHULNA ,6,91.7,2.4,42,,73,115.0,Higher Secondary,no,fail
4333,Rakib Chowdhury,17,Other,CHATTOGRAM,8,73.6,2.4,67,76,83,226.0,primary,YES,Pass
1298,Jannat Ahmed,16,Male,Barisal,9,102.0,4.1,81,39,70,190.0,secondary,NO,PASS
STU-03718,Mitu Rahman,16,other,Dhaka,9,67.1,3.7,49,65,31,145.0,PRIMARY,N,FAIL
3341,Sadia Talukder,13,FEMALE,Barishal,Nine,79.7,2.8,39,47,68,154.0,secondary,yes,
8909,Rahim Hossain,18,Male,rangpur,Six,78.3,,46,80,31,157.0,,Y,Fail
1522,Rakib Ahmed,15,,,Seven,80.5,8.1,46,38,73,157.0,illiterate,NO,Pass
7156,Fatema Chowdhury,12,female,Chattogram,10th,83.0,2.4,64,55,73,192.0,Post Graduate,no,Pass
2767,Farhan Das,13,female,Mymensign,9th,84.0,2.0,85,97,73,255.0,primary,,fail
STU-04657,Karim Sarker,18,Other,CHATTOGRAM,Nine,74.5,2.8,48,45,54,147.0,Graduate,N,P
1290,Arif Sarker,11,MALE,sylhet,7th,71.2,2.7,88,30,32,150.0,Post Graduate,n/a,P
2499,Tanvir Akter,15,,chittagong,Nine,93.0,0.4,58,60,90,208.0,N/A,0,FAIL
749,Tamim Hossain,16,,Chattogram,7,90.1,5.2,33,59,59,151.0,primary,0,P
3991,Zayed Talukder,17,M,Khulna,9th,73.5,5.8,94,65,63,222.0,,0,PASS
1932,Farhan Khan,13,male,Ctg,10,80.3,3.1,40,35,96,171.0,Unknown,1,F
3061,Riya Talukder,18,male,Rangpur,6,103.8,4.5,34,36,70,140.0,higher secondary,n/a,Fail
8002,Sohan Rahman,17,,khulna,7,,3.7,55,75,42,172.0,illiterate,No,Fail
2268,Nusrat Khan,11,MALE,Rajshahi,06,85.0,2.7,67,92,30,189.0,illiterate,0,F
6013,Lima Hossain,14,M,Rangpur,9th,76.1,3.2,55,32,67,154.0,Graduate,n/a,Fail
5551,Kabir Hossain,12,MALE,Khulna,6th,86.5,3.0,76,95,54,225.0,secondary,Y,P
6500,Tamim Sarker,17,F,Mymensign,Nine,94.4,2.4,85,33,69,187.0,,n/a,Fail
5857,Fatema Sarker,14,female,SYLHET,9,68.2,4.1,33,92,33,158.0,unknown,,F
2980,Imran Islam,13,FEMALE,rangpur,7,82.6,2.5,61,80,71,212.0,Primary,YES,
5233,Sabbir Khan,16,Other,dhaka,9,85.0,2.6,84,31,55,170.0,graduate,Yes,fail
2996,Hasan Rahman,11,O,Rajshahi,Seven,57.3,6.1,52,32,59,143.0,primary,N,PASS
2857,Ayesha Akter,17,Other,Mymensingh,9th,,1.1,57,77,64,198.0,Unknown,Y,Pass
4691,Anik Hossain,15,,Mymensign,Ten,83.3,21.6,34,98,81,213.0,Illiterate,No,Fail
8554,Nadia Chowdhury,13,female,Rangpur,8,68.0,1.4,64,76,79,219.0,Post Graduate,N,Fail
1945,Bristi Sarker,11,O,sylhet,10th,76.6,3.6,95,60,90,245.0,graduate,1,
9025,Zayed Akter,14,Other,Barishal,10,83.1,2.4,87,72,90,249.0,higher secondary,n/a,P
8271,Momo Sarker,17,FEMALE,,Ten,N/A,5.0,54,81,85,220.0,Graduate,n/a,F
7993,Kabir Akter,-15,,Rajshahi,Nine,78.0,1.2,59,93,67,219.0,higher secondary,,F
6990,Tamim Chowdhury,12,MALE,Rajshahi,8,81.3,2.5,72,66,74,212.0,Illiterate,no,P
4365,Zayed Akter,18,F,SYLHET,Nine,86.7,2.7,56,68,51,175.0,postgraduate,NO,pass
9605,Priya Sarker,15,male,khulna,Seven,77.4,4.6,93,86,55,234.0,,no,P
9344,Zayed Akter,11,female,chittagong,Seven,85.5,3.9,71,69,50,190.0,higher secondary,YES,Fail
4004,Sohan Chowdhury,16,FEMALE,Rajshahi ,9th,54.6,0.5,94,75,63,232.0,Secondary,yes,F
3415,Priya Talukder,18,Female,sylhet,Eight,79.8,3.4,51,35,49,135.0,primary,no,pass
2407 ,Fatema Talukder,11,FEMALE,Chattogram,10th,100.6,1.4,62,36,51,149.0,Secondary,N,P
2351,Jannat Chowdhury,13,M,Barisal,10th,78.3,4.6,87,78,-48,117.0,Graduate,Yes,Fail
6694,Zayed Hossain,17,MALE,rajshahi,6,94.6,-3.8,84,47,56,187.0,Higher Secondary,Yes,pass
9022,Imran Sarker,15,Male,mymensingh,8,86.4,4.1,69,58,52,179.0,unknown,yes,Pass
3525,Momo Hossain,16,other,,Eight,-18.8,3.6,57,88,189,334.0,secondary,No,F
5474,Tanvir Islam,11,MALE,SYLHET,Seven,,1.3,53,72,62,187.0,illiterate,,P
